Category,Monday Date,Lunes Nombre,Lunes Opciones,Martes Nombre,Martes Opciones,Miércoles Nombre,Miércoles Opciones,Jueves Nombre,Jueves Opciones,Viernes Nombre,Viernes Opciones
config,STATUS,ON,,,,,,,,,
SEMANA 1,2026-02-02,2026-02-02,,2026-02-03,,2026-02-04,,2026-02-05,,2026-02-06,
plato_fuerte,,"Picadillo con rojo
 ",,"Pollo a la diabla
 ",,"Res a la cacerola
 ",,"Puerco en salsa de molcajete
",,"Caldo tlalpeño 
 ",
antojito,,Sopes de refritos (2) ,,"Tortitas de papa (2)
  ",,"Empanadas de queso ,c/mexicana (2)
 ",,"Flautas de papa
  (4)",,"Entomatadas queso (4)
 ",
side,,"Arroz blanco
 ",,"Arroz rojo
 ",,"Arroz blanco
 ",,Espagueti entomatado ,,Arroz frito ,
side,,Frijoles ,,Frijoles ,,Frijoles ,,Frijoles ,,Frijoles ,
sopa_ensalada,,Sopa de codito ,,Crema de espinacas ,,Lentejas ,,"Sopa de fideo
  ",,"Ensalada verde
  ",
dessert,,jicama con chile ,,Flan ,,Gelatina ,,Arroz con leche,,Plátanos con crema ,
SEMANA 2,2026-02-09,2026-02-09,,2026-02-10,,2026-02-11,,2026-02-12,,2026-02-13,
main,,estofado de puerco,,Res en su jugo ,,"Caldo de albóndigas
 ",,"Deshebrada en verde
  ",,pollo con rajas poblanas,
antojito,,"Tacos papa vestidos (3)
 ",,ceviche de soya,,Bastones de papa (2) ,,"Tostadas de requesón (2)
 ",,enmoladas,
side,,tallarines a la mantequilla,,Arroz ,,Arroz casero ,,"Arroz 
 ",,Arroz blanco ,
side,,Frijoles ,,Frijoles ,,Frijoles ,,Frijoles ,,Frijoles ,
soup,,Sopa de letras ,,sopa azteca,,Lentejas ,,Crema de calabaza ,,Sopa de fideo ,
dessert,,rebanada de sandia,,Arroz c/ Leche ,,Gelatina de limón ,,chicharrones,,Carlota ,
SEMANA 3,2026-02-16,2026-02-16,,2026-02-17,,2026-02-18,,2026-02-19,,2026-02-20,
main,,res con mex,,caldo tlalpeño,,deshebrada manchamanteles,,"Puerco hawaiano
 (papa-piña-poblano)
  ",,Pollo en pipian,
antojito,,canasta de papa con chorizo,,greñudas de calabazas,,"Empanadas con rajas (2)
 ",,"Huaraches de refritos (2)
  ",,enchiladas verdes,
side,,macarron con queso,,Arroz blanco ,,"Arroz
 ",,Arroz rojo ,,Arroz Blanco ,
side,,Frijoles ,,Frijoles ,,Frijoles ,,Frijoles ,,Frijoles ,
soup,,"Sopa de verduras
 ",,Sopa de tortilla ,,Lentejas ,,Estrellitas ,,crema de zanahoria,
dessert,,naranja con chile ,,sandia,,Gelatina ,,Jicama c/chile ,,"Platanos con crema
  ",
SEMANA 4,2026-02-23,2026-02-23,,2026-02-24,,2026-02-25,,2026-02-26,,2026-02-27,
main,,"Puerco en b,b,q",,picadillo chipotle,,asado de puerco,,chicharron verde,,"Ensalada de pollo
",
antojito,,"sopes de requesón (2)
 ",,Chilaquiles poblanos,,"flautas de papa salceadas (4)
 ",,tostadas de surimi co repollo,,"tlacoyos de queso con mex,",
side,,"Arroz blanco
  ",,Arroz rojo ,,"Arroz 
 ",,"Espagueti
 ",,"Arroz 
 ",
side,,"Frijoles 
",,"Frijoles 
 ",,"Frijoles 
",,"Frijoles 
 ",,Frijoles ,
soup,,Sopa de semilla melón ,,Fideo ,,Lentejas ,,Consomé de verduras ,,Crema de elote ,
dessert,,jicama,,Piña en almibar ,,chicharrones,,arroz con leche,,dulce carlota,
