Category,Monday Date,Lunes Nombre,D_Category,D_Monday Date,D_Lunes Nombre,D_Lunes Opciones,D_Martes Nombre,D_Martes Opciones,D_Miércoles Nombre,D_Miércoles Opciones,D_Jueves Nombre,D_Jueves Opciones,D_Viernes Nombre,D_Viernes Opciones,T_Category,T_Monday Date,T_Lunes Nombre,T_Lunes Opciones,T_Martes Nombre,T_Martes Opciones,T_Miércoles Nombre,T_Miércoles Opciones,T_Jueves Nombre,T_Jueves Opciones,T_Viernes Nombre,T_Viernes Opciones,S_Category,S_Monday Date,S_Lunes Nombre,S_Lunes Opciones,S_Martes Nombre,S_Martes Opciones,S_Miércoles Nombre,S_Miércoles Opciones,S_Jueves Nombre,S_Jueves Opciones,S_Viernes Nombre,S_Viernes Opciones,V_Category,V_Monday Date,V_Lunes Nombre,V_Lunes Opciones,V_Martes Nombre,V_Martes Opciones,V_Miércoles Nombre,V_Miércoles Opciones,V_Jueves Nombre,V_Jueves Opciones,V_Viernes Nombre,V_Viernes Opciones,B_Category,B_Monday Date,B_Lunes Nombre,B_Lunes Opciones,B_Martes Nombre,B_Martes Opciones,B_Miércoles Nombre,B_Miércoles Opciones,B_Jueves Nombre,B_Jueves Opciones,B_Viernes Nombre,B_Viernes Opciones
,,,BARRA DESAYUNO,,,,,,,,,,,,BARRA TRADICIONAL,,,,,,,,,,,,BARRA SHOW,,,,,,,,,,,,BARRA VARIEDAD,,,,,,,,,,,,BARRA BURRITOS,,,,,,,,,,,
config,STATUS,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 1,2026-03-02,,,2026-03-02,,,,,,,,,,,,2026-03-02,,,,,,,,,,,,2026-03-02,,,,,,,,,,,,2026-03-02,,,,,,,,,,,,2026-03-02,,,,,,,,,,
,,,desayuno_principal,,Huevos Al Gusto,"Huevo Con Jamón, Dobladitas con requesón",Huevos Al Gusto,"Huevo Con Mexicana, Calabazas a la plancha","Huevos Al Gusto, Chilaquiles Al Gusto, Chilaquiles Montados","Huevos Veracruzanos, Hot cakes (2)",Huevos Al Gusto,"Huevos Con migas, Papas Con mexicana",Menudo,"Chilaquiles Verdes Y Chipotle, Barra de huevo",plato_fuerte,,Puerco C/Chile Pasado,"Chilaquiles Enmolados, Arroz rojo",Pollo Al Chipotle,"Huarache de requesón (2), Arroz Blanco",Deshebrada en Verde,"Tostadas de frijoles (2), Arroz amarillo",Pastel de carne,"Tacos dorados de papa (3), Arroz Rojo",Pollo con crema y rajas,"Ceviche de soya, Arroz blanco",show_principal,,Pollo en salsa(2)pz mango,"Puerco C/Chile Pasado, Huevo a la Mexicana",Hot Dog Grande y Complementos,"Pollo Al Chipotle, Huevo con chorizo",Tacos al pastor,"Deshebrada en Verde, Huevo con jamón",Torta de milanesa Complementos,"Pastel de carne, Huevo con chorizo",Pescado al mojo de ajo,"Pollo con crema y rajas, Huevo con machaca",variedad_tipo,,"BARRA DE ENSALADAS (Proteína, Huevo, Verduras, Papa sonorense)","Cambio a Tradicional, Cambio a Desayuno","BOWL HAWAIANO (Arroz/Espagueti, 3 vegetales, 1 proteína, salsas)","Cambio a Tradicional, Cambio a Desayuno","BARRA DE PASTAS (Espagueti/Fetuccini, salsas, 100gm proteína, vegetales)","Cambio a Tradicional, Cambio a Desayuno","GOURMET (costillitas B.B.Q, Espagueti, Puré, Ensalada betabel)","Cambio a Tradicional, Cambio a Desayuno",Viaje por Mexico TACO ENSENADA,"Cambio a Tradicional, Cambio a Desayuno",burrito_1,,Huevo a la Mexicana,"Frijoles con Queso, Papas con Chorizo",Huevo con chorizo,"Frijoles con Queso, Papas con Tocino",Huevo con jamón,"Frijoles con Queso, Papas con Chorizo",Huevo con chorizo,"Frijoles con Queso, Papas con Tocino",Huevo con machaca,"Frijoles con Queso, Papas a la Mexicana"
,,,desayuno_opcion1,,Huevo Con Jamón,,Huevo Con Mexicana,,Huevos Veracruzanos,,Huevos Con migas,,Chilaquiles Verdes Y Chipotle,,antojito,,Chilaquiles Enmolados,,Huarache de requesón (2),,Tostadas de frijoles (2),,Tacos dorados de papa (3),,Ceviche de soya,,guarnicion_1,,Pure de papa,,Papas Francesas,,Graneados con mexicana,,Papas en Gajos,,Ensalada de nopales,,,,,,,,,,,,,,burrito_2,,Frijoles con Queso,"Chicharrón en Verde, Huevo a la Mexicana",Frijoles con Queso,"Deshebrada Verde, Huevo con chorizo",Frijoles con Queso,"Chicharrón en Verde, Huevo con jamón",Frijoles con Queso,"Deshebrada en Verde, Huevo con chorizo",Frijoles con Queso,"Chicharrón en Verde, Huevo con machaca"
,,,desayuno_opcion2,,Dobladitas con requesón,,Calabazas a la plancha,,Hot cakes (2),,Papas Con mexicana,,Barra de huevo,,guarnicion_1,,Arroz rojo,,Arroz Blanco,,Arroz amarillo,,Arroz Rojo,,Arroz blanco,,guarnicion_2,,Ensalada col,,,,Arroz blanco,,,,,,,,,,,,,,,,,,burrito_3,,Papas con Chorizo,,Papas con Tocino,,Papas con Chorizo,,Papas con Tocino,,Papas a la Mexicana,
,,,guarnicion_1,,Frijoles,,Frijoles,,Frijoles,,Frijoles,,Frijoles,,guarnicion_2,,Frijoles,,Frijoles,,Frijoles,,Frijoles,,Frijoles,,,,,,,,,,,,,,,,,,,,,,,,,,burrito_4,,Chicharrón en Verde,,Deshebrada Verde,,Chicharrón en Verde,,Deshebrada en Verde,,Chicharrón en Verde,
,,,acompañamiento,,Pan Dulce Recién Horneado,,Pan Dulce Recién Horneado,,Pan Dulce Recién Horneado,,Pan Dulce Recién Horneado,,Pan Dulce Recién Horneado,,sopa,,Sopa De Fideo,,Sopa de estrellitas,,Alubias a la mex,,Crema de calabaza,,Sopa de chacales,,,,,,,,,,,,,,,,,,,,,,,,,,burrito_5,,"Chicharrón Prensado, Picadillo al Chipotle",,"Puerco ch. pasado, Res a la Mexicana",,"Discada, Picadillo a la Plancha",,"Puerco Chile Pasado, Picadillo al Chipotle",,"Chicharrón Prensado, Picadillo a la Plancha",
,,,bebida_desayuno,,Jugo/leche,,Jugo/leche,,Jugo/leche,,Jugo/leche,,Jugo/leche,,postre,,Frituras,,Naranja,,Gelatina,,Arroz con leche,,Dulce capirotada,,,,,,,,,,,,,,,,,,,,,,,,,,burrito_6,,Pollo en Mole,,Pollo en Mole,,Asado de Puerco,,Rajas con Queso y Crema,,Pollo en Mole,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burrito_7,,Bistec a la Mexicana,,PASTOR,,Milanesa,,RES AL ALBAÑIL,,PASTOR,
